TRIP;BETA;ALFA;CL;CD;CM25;CYAW;CROLL;CY;;;
0;0;-4.00;-0.1064;0.0734;0.1476;0.0010;-0.0033;-0.0017;;;
0;0;-3.00;0.0038;0.0689;0.1450;0.0008;-0.0035;-0.0017;;;
0;0;-2.00;0.1113;0.0659;0.1251;0.0005;-0.0031;-0.0006;;;
0;0;-1.00;0.2225;0.0633;0.1236;0.0004;-0.0036;-0.0007;;;
0;0;0.00;0.3361;0.0635;0.0990;0.0003;-0.0029;-0.0009;;;
0;0;1.00;0.4494;0.0644;0.0942;0.0004;-0.0041;-0.0004;;;
0;0;2.00;0.5574;0.0657;0.0845;0.0003;-0.0029;0.0002;;;
0;0;3.00;0.6683;0.0700;0.0681;0.0005;-0.0034;0.0006;;;
0;0;4.00;0.7792;0.0744;0.0517;0.0007;-0.0039;0.0009;;;
0;0;5.00;0.8883;0.0801;0.0391;0.0008;-0.0040;0.0009;;;
0;0;6.00;0.9965;0.0868;0.0187;0.0008;-0.0036;0.0009;;;
0;0;7.00;1.1047;0.0956;-0.0119;0.0008;-0.0033;0.0005;;;
0;0;8.00;1.2126;0.1055;-0.0387;0.0008;-0.0032;-0.0003;;;
0;0;9.00;1.3187;0.1170;-0.0696;0.0013;-0.0032;-0.0005;;;
0;0;10.00;1.4215;0.1295;-0.1033;0.0010;-0.0031;0.0004;;;
0;0;11.00;1.5184;0.1421;-0.1380;0.0008;-0.0018;0.0000;;;
0;0;12.00;1.6152;0.1560;-0.1623;0.0012;-0.0025;0.0000;;;
0;0;13.00;1.7082;0.1732;-0.1993;0.0015;-0.0022;-0.0012;;;
0;0;14.00;1.7928;0.1917;-0.2247;0.0012;-0.0023;0.0020;;;
0;0;15.00;1.8668;0.2105;-0.2530;0.0011;-0.0011;0.0013;;;
0;0;15.50;1.8847;0.2243;-0.2725;0.0004;-0.0027;-0.0013;;;
0;0;16.00;1.8854;0.2432;-0.2986;-0.0005;-0.0069;-0.0074;;;
0;0;16.50;1.8774;0.2624;-0.3185;-0.0002;-0.0066;-0.0068;;;
0;0;17.00;1.8592;0.2821;-0.3339;0.0005;-0.0050;-0.0003;;;
0;0;17.50;1.8750;0.2976;-0.3465;0.0004;-0.0064;-0.0018;;;
0;0;18.00;1.8760;0.3154;-0.3612;0.0014;0.0026;-0.0010;;;
0;0;18.50;1.8363;0.3335;-0.3156;0.0043;0.0212;0.0096;;;
0;-10.00;0;0.3623;0.0455;0.0780;-0.0202;0.0315;0.2851;;;
0;-8.00;0;0.3683;0.0514;0.1000;-0.0146;0.0232;0.2232;;;
0;-7.00;0;0.3683;0.0538;0.0928;-0.0128;0.0197;0.1996;;;
0;-6.00;0;0.3700;0.0564;0.0909;-0.0100;0.0179;0.1687;;;
0;-5.00;0;0.3706;0.0582;0.0909;-0.0082;0.0115;0.1457;;;
0;-4.00;0;0.3686;0.0604;0.0994;-0.0064;0.0102;0.1148;;;
0;-3.00;0;0.3646;0.0615;0.1040;-0.0048;0.0071;0.0880;;;
0;-2.00;0;0.3687;0.0631;0.1081;-0.0024;0.0029;0.0577;;;
0;-1.00;0;0.3665;0.0636;0.1010;-0.0006;-0.0022;0.0319;;;
0;0.00;0;0.3679;0.0641;0.1021;0.0002;-0.0040;-0.0018;;;
0;1.00;0;0.3671;0.0635;0.1055;0.0024;-0.0068;-0.0287;;;
0;2.00;0;0.3661;0.0626;0.1088;0.0043;-0.0114;-0.0588;;;
0;3.00;0;0.3620;0.0619;0.1038;0.0068;-0.0141;-0.0879;;;
0;4.00;0;0.3603;0.0605;0.1049;0.0085;-0.0175;-0.1164;;;
0;5.00;0;0.3610;0.0585;0.1034;0.0105;-0.0230;-0.1451;;;
0;6.00;0;0.3620;0.0564;0.1051;0.0132;-0.0261;-0.1797;;;
0;7.00;0;0.3655;0.0562;0.0949;0.0153;-0.0289;-0.1988;;;
0;8.00;0;0.3636;0.0537;0.0917;0.0180;-0.0325;-0.2270;;;
0;9.00;0;0.3621;0.0508;0.0888;0.0208;-0.0361;-0.2588;;;
0;10.00;0;0.3609;0.0475;0.0776;0.0244;-0.0419;-0.2894;;;
6;0;-4.00;-0.1229;0.0753;0.1408;0.0011;-0.0036;-0.0012;;;
6;0;-3.00;-0.0125;0.0705;0.1356;0.0008;-0.0044;-0.0013;;;
6;0;-2.00;0.0934;0.0677;0.1275;0.0006;-0.0039;-0.0004;;;
6;0;-1.00;0.2038;0.0656;0.1191;0.0005;-0.0039;-0.0002;;;
6;0;0.00;0.3094;0.0653;0.1058;0.0003;-0.0030;-0.0003;;;
6;0;1.00;0.4211;0.0656;0.0918;0.0002;-0.0039;-0.0001;;;
6;0;2.00;0.5268;0.0681;0.0803;0.0006;-0.0029;0.0007;;;
6;0;3.00;0.5268;0.0681;0.0803;0.0006;-0.0029;0.0007;;;
6;0;4.00;0.7426;0.0761;0.0523;0.0008;-0.0037;0.0012;;;
6;0;5.00;0.8504;0.0815;0.0376;0.0009;-0.0039;0.0013;;;
6;0;6.00;0.9550;0.0884;0.0159;0.0009;-0.0036;0.0013;;;
6;0;7.00;1.0578;0.0969;-0.0107;0.0009;-0.0036;0.0003;;;
6;0;8.00;1.1583;0.1066;-0.0371;0.0009;-0.0034;-0.0005;;;
6;0;9.00;1.2536;0.1184;-0.0664;0.0013;-0.0036;-0.0009;;;
6;0;10.00;1.3442;0.1311;-0.0985;0.0010;-0.0036;0.0001;;;
6;0;11.00;1.4281;0.1442;-0.1295;0.0009;-0.0021;-0.0007;;;
6;0;12.00;1.4403;0.1724;-0.1849;-0.0011;-0.0110;-0.0117;;;
6;0;13.00;1.4217;0.2023;-0.2319;0.0016;-0.0019;-0.0026;;;
6;0;14.00;1.4549;0.2265;-0.2441;0.0027;0.0033;-0.0016;;;
6;0;15.00;1.4813;0.2516;-0.2662;0.0038;0.0106;0.0018;;;
6;0;15.50;1.4934;0.2638;-0.2748;0.0033;0.0121;0.0010;;;
6;0;16.00;1.5056;0.2753;-0.2851;0.0033;0.0127;0.0008;;;
6;0;16.50;1.5220;0.2881;-0.2958;0.0032;0.0132;-0.0001;;;
6;0;17.00;1.5336;0.3005;-0.3042;0.0030;0.0142;0.0001;;;
6;-10.00;0;0.3330;0.0474;0.0752;-0.0206;0.0319;0.2842;;;
6;-9.00;0;0.3330;0.0503;0.0859;-0.0180;0.0283;0.2542;;;
6;-8.00;0;0.3330;0.0537;0.0970;-0.0153;0.0234;0.2220;;;
6;-7.00;0;0.3330;0.0556;0.0927;-0.0132;0.0203;0.1954;;;
6;-6.00;0;0.3330;0.0582;0.0957;-0.0106;0.0180;0.1680;;;
6;-5.00;0;0.3330;0.0604;0.0926;-0.0084;0.0142;0.1406;;;
6;-4.00;0;0.3330;0.0617;0.1044;-0.0067;0.0100;0.1152;;;
6;-3.00;0;0.3330;0.0634;0.1074;-0.0049;0.0069;0.0881;;;
6;-2.00;0;0.3330;0.0645;0.1092;-0.0029;0.0030;0.0557;;;
6;-1.00;0;0.3330;0.0655;0.1116;-0.0009;-0.0007;0.0248;;;
6;0.00;0;0.3330;0.0652;0.1117;0.0001;-0.0031;-0.0025;;;
6;1.00;0;0.3330;0.0654;0.1118;0.0020;-0.0065;-0.0312;;;
6;2.00;0;0.3330;0.0644;0.1137;0.0044;-0.0111;-0.0600;;;
6;3.00;0;0.3330;0.0636;0.1099;0.0063;-0.0142;-0.0894;;;
6;4.00;0;0.3330;0.0619;0.1087;0.0082;-0.0174;-0.1196;;;
